Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,874.2084,NA,20.56170000000000,20.84250000000000,0.00000000000000,0.01720000000000,3.2855,853.6467,20.5617,20.5617,0.0000,0.0189,20.5600,0.2242,20.3358,16.8693,853.6467,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,890.8955,NA,16.68710000000000,16.66290000000000,0.00000000000000,0.01790000000000,3.2613,874.2084,16.6871,16.6871,0.0000,0.0172,16.6878,0.2051,16.4827,3.8988,874.2084,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,966.5989,NA,75.70340000000000,75.00900000000000,0.00000000000000,0.06080000000000,2.5669,890.8955,75.7034,75.7034,0.0000,0.0179,75.7463,0.1738,75.5725,-58.3219,890.8955,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,982.5567,NA,15.95780000000000,16.67750000000000,0.00000000000000,0.01710000000000,3.2866,966.5989,15.9578,15.9578,0.0000,0.0608,15.9141,0.2520,15.6621,59.0259,966.5989,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,998.9571,NA,16.40040000000000,16.65690000000000,0.00000000000000,0.02420000000000,3.5431,982.5567,16.4004,16.4004,0.0000,0.0171,16.4075,0.1442,16.2633,-0.6991,982.5567,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,1015.5105,NA,16.55340000000000,16.67490000000000,0.00000000000000,0.04990000000000,3.6646,998.9571,16.5534,16.5534,0.0000,0.0242,16.5791,0.2782,16.3009,-0.2745,998.9571,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,1040.6268,NA,25.11630000000000,25.00840000000000,0.00000000000000,0.01580000000000,3.5567,1015.5105,25.1163,25.1163,0.0000,0.0499,25.0822,0.2301,24.8521,-8.4550,1015.5105,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,1044.7930,NA,4.16620000000000,4.16090000000000,0.00000000000000,0.03730000000000,3.5514,1040.6268,4.1662,4.1662,0.0000,0.0158,4.1877,0.1671,4.0206,20.9554,1040.6268,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,1076.1014,NA,31.30840000000000,29.14880000000000,0.00000000000000,0.01790000000000,1.3918,1044.7930,31.3084,31.3084,0.0000,0.0373,31.2890,0.2513,31.0377,-24.9826,1044.7930,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,1095.0165,NA,18.91510000000000,20.83470000000000,0.00000000000000,0.01720000000000,3.3114,1076.1014,18.9151,18.9151,0.0000,0.0179,18.9144,0.2270,18.6874,10.4737,1076.1014,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,1107.5540,NA,12.53750000000000,12.51640000000000,0.00000000000000,0.12540000000000,3.2903,1095.0165,12.5375,12.5375,0.0000,0.0172,12.6457,0.3236,12.3221,6.3987,1095.0165,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,1184.9835,NA,77.42950000000000,74.98590000000000,0.00000000000000,0.01760000000000,0.8467,1107.5540,77.4295,77.4295,0.0000,0.1254,77.3217,0.2130,77.1087,-62.4484,1107.5540,NA,NA,NA
